"title","icon"
آرایشی و بهداشتی,assets/images/icons/shopping/ic_normal_shopping_22.png
آموزش,assets/images/icons/education/ic_category_education_normal.png
اجاره خونه,assets/images/icons/education/ic_normal_education_01.png
اینترنت,assets/images/icons/electronic/ic_normal_electronics_01.png
بنزین,assets/images/icons/transportation/ic_normal_transportation_01.png
بهداشت و سلامت,assets/images/icons/medical/ic_normal_medical_04.png
بیمه,assets/images/icons/medical/3-min.png
تاکسی,assets/images/icons/transportation/ic_normal_transportation_13.png
تسویه حساب,assets/images/icons/income/ic_normal_income_03.png
تعمیرات,assets/images/icons/furniture/ic_normal_furniture_12.png
تناسب اندام,assets/images/icons/fitness/ic_normal_fitness_01.png
تکنولوژی,assets/images/icons/electronic/ic_normal_electronics_06.png
جرائم رانندگی,assets/images/icons/transportation/ic_normal_transportation_04.png
حیوان خانگی,assets/images/icons/personal/4-min.png
خانواده,assets/images/icons/family/ic_normal_family_01.png
خرید خانه,assets/images/icons/shopping/ic_normal_shopping_01.png
دخانیات,assets/images/icons/personal/ic_category_cigarette_normal.png
رستوران,assets/images/icons/food/ic_category_food_normal.png
سرگرمی,assets/images/icons/entertainment/ic_category_entertainment_normal.png
سوخت,assets/images/icons/transportation/ic_normal_transportation_01.png
سینما و تئاتر,assets/images/icons/entertainment/ic_normal_entertainment_02.png
قبض,assets/images/icons/personal/ic_normal_personal_02.png
قسط,assets/images/icons/personal/ic_normal_personal_02.png
مسافرت,assets/images/icons/transportation/ic_normal_transportation_14.png
نقدی,assets/images/icons/income/ic_normal_income_02.png
هنر و موسیقی,assets/images/icons/education/ic_normal_education_05.png
پیک نیک,assets/images/icons/life/ic_normal_life_02.png
کافه,assets/images/icons/food/ic_normal_food_03.png
گل و گیاه,assets/images/icons/furniture/ic_normal_furniture_04.png
